"final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","id1"
1,131.0,179.0,198.0,307.0,594.0,174.0,123.0,51.0,49.0,0.0,28
1,0.0,374.0,135.0,117.0,89.0,145.0,53.0,35.0,86.0,0.0,29
1,53.0,144.0,183.0,75.0,244.0,99.0,118.0,47.0,55.0,10.0,30
1,634.0,1181.0,1047.0,802.0,1178.0,798.0,461.0,292.0,960.0,0.0,31
0,33.0,140.0,71.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,32
1,49.0,418.0,249.0,272.0,312.0,160.0,76.0,182.0,207.0,0.0,33
1,37.0,96.0,205.0,0.0,95.0,38.0,35.0,24.0,268.0,0.0,34
1,17.0,2.0,14.0,9.0,23.0,120.0,0.0,44.0,68.0,9.0,35
1,145.0,778.0,317.0,140.0,212.0,78.0,215.0,90.0,293.0,0.0,36
1,12.0,198.0,316.0,517.0,203.0,511.0,780.0,1334.0,1344.0,0.0,37
1,50.0,223.0,171.0,254.0,123.0,206.0,91.0,162.0,144.0,0.0,38
1,27.0,12.0,94.0,4.0,49.0,9.0,30.0,29.0,0.0,14.0,39
0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
1,0.0,26.0,23.0,50.0,73.0,47.0,50.0,106.0,1.0,0.0,41
1,4.0,213.0,168.0,46.0,194.0,113.0,69.0,38.0,0.0,0.0,42
1,5.0,526.0,71.0,21.0,129.0,0.0,95.0,142.0,115.0,3.0,43
1,31.0,151.0,130.0,153.0,201.0,273.0,627.0,318.0,563.0,129.0,44
0,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
1,0.0,21.0,71.0,33.0,1.0,34.0,34.0,24.0,36.0,0.0,46
0,114.0,13.0,149.0,51.0,115.0,26.0,0.0,0.0,137.0,0.0,47
1,47.0,202.0,438.0,82.0,265.0,254.0,29.0,64.0,127.0,0.0,48
0,98.0,177.0,256.0,38.0,224.0,43.0,0.0,79.0,122.0,7.0,49
1,17.0,40.0,95.0,70.0,24.0,8.0,74.0,63.0,4.0,0.0,50
1,115.0,291.0,254.0,86.0,70.0,45.0,2.0,24.0,19.0,0.0,51
1,0.0,68.0,83.0,45.0,93.0,28.0,60.0,43.0,84.0,43.0,52
1,0.0,2.0,64.0,8.0,2.0,12.0,119.0,93.0,48.0,69.0,53
1,65.0,176.0,211.0,95.0,172.0,165.0,358.0,110.0,299.0,139.0,54
1,74.0,255.0,268.0,36.0,547.0,384.0,297.0,596.0,233.0,0.0,55
1,10.0,250.0,70.0,45.0,51.0,37.0,48.0,58.0,34.0,0.0,56
1,0.0,20.0,17.0,12.0,1.0,9.0,12.0,0.0,19.0,0.0,57
1,82.0,426.0,226.0,240.0,107.0,190.0,151.0,208.0,19.0,0.0,58
1,88.0,149.0,145.0,26.0,6.0,119.0,246.0,71.0,129.0,6.0,59
1,7.0,20.0,0.0,12.0,15.0,20.0,34.0,0.0,0.0,0.0,60
1,150.0,177.0,199.0,89.0,74.0,82.0,112.0,158.0,169.0,82.0,61
1,11.0,94.0,105.0,112.0,43.0,58.0,48.0,44.0,45.0,0.0,62
0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
1,11.0,67.0,236.0,1.0,212.0,241.0,220.0,122.0,52.0,12.0,64
1,30.0,8.0,7.0,0.0,60.0,57.0,0.0,219.0,352.0,2.0,65
1,9.0,101.0,58.0,0.0,34.0,51.0,32.0,14.0,0.0,0.0,66
0,178.0,269.0,395.0,122.0,312.0,252.0,349.0,169.0,132.0,30.0,67
1,36.0,734.0,1259.0,658.0,232.0,104.0,203.0,7.0,29.0,0.0,68
1,59.0,44.0,0.0,0.0,20.0,39.0,1.0,23.0,40.0,0.0,69
1,172.0,452.0,224.0,81.0,454.0,186.0,204.0,169.0,332.0,0.0,70
1,92.0,171.0,140.0,40.0,69.0,65.0,55.0,14.0,18.0,17.0,71
1,83.0,419.0,192.0,153.0,380.0,362.0,180.0,209.0,297.0,0.0,72
1,22.0,105.0,167.0,79.0,49.0,28.0,30.0,44.0,27.0,0.0,73
1,11.0,2.0,16.0,0.0,19.0,5.0,18.0,3.0,0.0,0.0,74
0,1.0,37.0,33.0,25.0,24.0,52.0,1.0,98.0,0.0,0.0,75
1,0.0,18.0,36.0,65.0,171.0,100.0,42.0,103.0,490.0,0.0,76
1,0.0,24.0,54.0,0.0,73.0,59.0,58.0,92.0,69.0,20.0,77
1,0.0,19.0,21.0,18.0,14.0,0.0,37.0,3.0,11.0,0.0,78
0,11.0,140.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
0,13.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
1,16.0,112.0,53.0,66.0,116.0,159.0,71.0,336.0,26.0,1.0,81
0,3.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
1,30.0,535.0,390.0,318.0,274.0,327.0,139.0,344.0,311.0,0.0,83
0,67.0,152.0,49.0,46.0,20.0,28.0,15.0,33.0,18.0,0.0,84
1,10.0,64.0,22.0,0.0,42.0,17.0,52.0,20.0,0.0,5.0,85
1,22.0,34.0,55.0,16.0,43.0,26.0,20.0,42.0,5.0,7.0,86
1,0.0,411.0,233.0,125.0,173.0,32.0,68.0,7.0,150.0,94.0,87
0,101.0,230.0,126.0,90.0,26.0,1.0,4.0,20.0,4.0,0.0,88
1,24.0,206.0,46.0,3.0,81.0,20.0,48.0,0.0,15.0,60.0,89
1,0.0,213.0,369.0,313.0,333.0,301.0,280.0,313.0,273.0,0.0,90
1,0.0,155.0,171.0,108.0,430.0,321.0,241.0,300.0,253.0,0.0,91
1,0.0,27.0,1.0,39.0,26.0,25.0,11.0,44.0,0.0,0.0,92
0,0.0,139.0,33.0,26.0,47.0,0.0,1.0,0.0,0.0,0.0,93
0,6.0,98.0,73.0,169.0,42.0,140.0,281.0,407.0,136.0,0.0,94
1,5.0,42.0,58.0,21.0,36.0,0.0,50.0,35.0,0.0,0.0,95
0,33.0,178.0,148.0,56.0,155.0,141.0,57.0,73.0,74.0,9.0,96
1,0.0,11.0,243.0,0.0,116.0,61.0,63.0,36.0,20.0,4.0,97
1,0.0,0.0,20.0,16.0,16.0,21.0,13.0,10.0,16.0,0.0,98
1,168.0,186.0,194.0,49.0,264.0,409.0,228.0,162.0,352.0,2.0,99
1,25.0,160.0,83.0,81.0,91.0,45.0,77.0,53.0,38.0,0.0,100
1,109.0,218.0,62.0,144.0,88.0,102.0,57.0,49.0,0.0,0.0,101
0,89.0,171.0,101.0,65.0,99.0,31.0,31.0,0.0,0.0,0.0,102
0,11.0,154.0,24.0,57.0,73.0,117.0,55.0,26.0,59.0,0.0,103
1,115.0,76.0,72.0,15.0,30.0,54.0,46.0,22.0,1.0,15.0,104
1,27.0,38.0,71.0,14.0,41.0,26.0,48.0,0.0,0.0,0.0,105
1,85.0,353.0,138.0,80.0,19.0,75.0,88.0,38.0,29.0,0.0,106
1,29.0,448.0,224.0,74.0,97.0,48.0,85.0,67.0,89.0,52.0,107
1,0.0,154.0,83.0,148.0,123.0,115.0,124.0,112.0,75.0,15.0,108
0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109
1,46.0,118.0,210.0,111.0,199.0,75.0,99.0,72.0,66.0,18.0,110
0,102.0,116.0,96.0,44.0,21.0,29.0,0.0,0.0,0.0,0.0,111
1,53.0,107.0,72.0,35.0,5.0,34.0,38.0,7.0,126.0,0.0,112
1,0.0,100.0,98.0,18.0,28.0,5.0,18.0,33.0,37.0,80.0,113
1,18.0,66.0,288.0,57.0,97.0,28.0,75.0,125.0,33.0,0.0,114
0,2.0,32.0,21.0,3.0,25.0,2.0,0.0,0.0,0.0,0.0,115
1,0.0,8.0,20.0,16.0,15.0,1.0,38.0,0.0,0.0,0.0,116
1,9.0,33.0,163.0,0.0,177.0,200.0,56.0,240.0,288.0,0.0,117
0,48.0,422.0,210.0,98.0,110.0,107.0,97.0,155.0,1.0,0.0,118
1,11.0,10.0,51.0,11.0,24.0,56.0,73.0,38.0,24.0,7.0,119
1,85.0,2.0,204.0,49.0,57.0,154.0,143.0,89.0,13.0,0.0,120
1,18.0,206.0,213.0,111.0,69.0,95.0,92.0,85.0,212.0,219.0,121
1,165.0,502.0,220.0,126.0,243.0,141.0,146.0,105.0,105.0,0.0,122
1,31.0,8.0,31.0,0.0,23.0,14.0,20.0,36.0,6.0,20.0,123
1,343.0,900.0,490.0,175.0,1175.0,390.0,395.0,553.0,404.0,0.0,124
0,47.0,242.0,271.0,44.0,116.0,269.0,105.0,127.0,41.0,0.0,125
1,0.0,83.0,31.0,0.0,30.0,17.0,40.0,36.0,10.0,6.0,126
1,12.0,7.0,114.0,14.0,118.0,76.0,38.0,160.0,14.0,3.0,127
1,6.0,161.0,54.0,10.0,24.0,16.0,25.0,2.0,3.0,0.0,128
1,49.0,295.0,317.0,438.0,318.0,153.0,137.0,86.0,78.0,6.0,129
0,106.0,188.0,90.0,39.0,3.0,22.0,13.0,11.0,0.0,0.0,130
1,96.0,831.0,652.0,608.0,617.0,236.0,310.0,453.0,336.0,0.0,131
1,45.0,77.0,67.0,35.0,38.0,42.0,16.0,63.0,9.0,0.0,132
0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133
1,21.0,242.0,296.0,379.0,420.0,11.0,237.0,235.0,123.0,0.0,134
0,0.0,88.0,242.0,40.0,71.0,0.0,329.0,130.0,0.0,0.0,135
1,217.0,351.0,293.0,80.0,166.0,154.0,124.0,179.0,43.0,14.0,136
1,18.0,61.0,152.0,6.0,101.0,176.0,40.0,164.0,91.0,0.0,137
1,49.0,204.0,106.0,32.0,36.0,20.0,51.0,27.0,66.0,28.0,138
1,32.0,336.0,129.0,77.0,97.0,61.0,108.0,132.0,73.0,11.0,139
1,13.0,82.0,106.0,62.0,74.0,50.0,11.0,40.0,21.0,0.0,140
1,167.0,175.0,138.0,63.0,329.0,311.0,213.0,307.0,101.0,32.0,141
0,64.0,4.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,142
0,24.0,104.0,84.0,1.0,27.0,23.0,0.0,0.0,0.0,0.0,143
1,38.0,170.0,184.0,165.0,53.0,194.0,96.0,15.0,42.0,0.0,144
1,25.0,89.0,83.0,54.0,167.0,113.0,35.0,50.0,31.0,5.0,145
1,73.0,141.0,179.0,7.0,161.0,23.0,34.0,42.0,144.0,10.0,146
1,109.0,185.0,188.0,226.0,90.0,63.0,95.0,56.0,54.0,0.0,147
1,35.0,413.0,517.0,304.0,124.0,82.0,71.0,86.0,309.0,0.0,148
1,35.0,48.0,63.0,70.0,36.0,48.0,27.0,120.0,65.0,0.0,149
0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
1,25.0,181.0,91.0,96.0,180.0,133.0,50.0,48.0,0.0,0.0,151
1,7.0,102.0,168.0,35.0,79.0,42.0,107.0,58.0,80.0,13.0,152
1,11.0,12.0,71.0,3.0,54.0,58.0,45.0,57.0,4.0,1.0,153
1,48.0,173.0,127.0,165.0,97.0,85.0,68.0,67.0,28.0,0.0,154
1,97.0,72.0,97.0,3.0,14.0,12.0,8.0,14.0,0.0,4.0,155
0,1.0,103.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,156
0,2.0,27.0,22.0,16.0,15.0,2.0,15.0,22.0,0.0,0.0,157
1,20.0,221.0,64.0,63.0,35.0,52.0,28.0,101.0,36.0,0.0,158
1,53.0,249.0,74.0,151.0,135.0,245.0,96.0,158.0,93.0,0.0,159
1,19.0,72.0,24.0,59.0,16.0,13.0,28.0,34.0,31.0,0.0,160
1,307.0,452.0,218.0,71.0,132.0,87.0,56.0,120.0,94.0,0.0,161
1,149.0,223.0,121.0,76.0,24.0,60.0,87.0,67.0,53.0,0.0,162
1,23.0,134.0,233.0,106.0,155.0,248.0,151.0,50.0,143.0,0.0,163
1,216.0,165.0,181.0,85.0,55.0,98.0,148.0,69.0,154.0,89.0,164
1,11.0,107.0,95.0,81.0,52.0,78.0,2.0,84.0,68.0,0.0,165
1,72.0,100.0,132.0,132.0,79.0,222.0,256.0,29.0,93.0,0.0,166
1,82.0,192.0,51.0,22.0,75.0,0.0,38.0,21.0,5.0,0.0,167
0,17.0,276.0,66.0,4.0,70.0,96.0,57.0,17.0,0.0,0.0,168
1,116.0,253.0,228.0,91.0,259.0,224.0,193.0,113.0,84.0,26.0,169
1,42.0,212.0,60.0,29.0,134.0,148.0,23.0,250.0,299.0,0.0,170
0,15.0,26.0,27.0,19.0,28.0,1.0,18.0,28.0,2.0,0.0,171
1,1.0,0.0,55.0,120.0,45.0,103.0,33.0,86.0,90.0,0.0,172
1,102.0,434.0,219.0,203.0,169.0,186.0,172.0,213.0,236.0,0.0,173
1,0.0,70.0,20.0,10.0,4.0,0.0,1.0,22.0,76.0,0.0,174
1,144.0,1723.0,1917.0,1459.0,1216.0,300.0,529.0,576.0,796.0,0.0,175
1,0.0,35.0,130.0,144.0,49.0,25.0,104.0,109.0,0.0,0.0,176
1,1.0,66.0,63.0,53.0,58.0,71.0,44.0,22.0,93.0,0.0,177
1,142.0,748.0,336.0,194.0,170.0,212.0,143.0,121.0,89.0,0.0,178
1,0.0,122.0,36.0,0.0,43.0,26.0,38.0,23.0,0.0,0.0,179
1,0.0,28.0,5.0,5.0,16.0,0.0,6.0,40.0,0.0,0.0,180
1,421.0,1004.0,1620.0,896.0,1059.0,757.0,781.0,687.0,366.0,0.0,181
1,75.0,184.0,40.0,40.0,17.0,49.0,51.0,21.0,53.0,0.0,182
0,0.0,60.0,23.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,183
1,0.0,101.0,108.0,53.0,78.0,178.0,256.0,198.0,119.0,48.0,184
0,11.0,82.0,68.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,185
1,39.0,153.0,47.0,23.0,225.0,47.0,264.0,128.0,177.0,0.0,186
1,32.0,97.0,133.0,98.0,95.0,72.0,71.0,146.0,26.0,0.0,187
1,3.0,43.0,36.0,15.0,39.0,21.0,19.0,16.0,19.0,0.0,188
1,37.0,194.0,173.0,148.0,209.0,146.0,213.0,100.0,135.0,0.0,189
1,37.0,158.0,119.0,72.0,48.0,15.0,29.0,88.0,23.0,5.0,190
1,0.0,137.0,57.0,0.0,44.0,9.0,99.0,18.0,5.0,11.0,191
1,0.0,9.0,262.0,24.0,256.0,67.0,70.0,24.0,0.0,22.0,192
1,51.0,106.0,57.0,41.0,27.0,27.0,90.0,0.0,0.0,0.0,193
1,0.0,136.0,126.0,301.0,383.0,337.0,206.0,389.0,75.0,0.0,194
1,7.0,154.0,63.0,40.0,53.0,15.0,44.0,23.0,27.0,0.0,195
1,110.0,275.0,68.0,87.0,22.0,106.0,264.0,174.0,45.0,0.0,196
1,21.0,141.0,213.0,140.0,24.0,8.0,75.0,16.0,68.0,0.0,197
1,42.0,282.0,207.0,15.0,60.0,37.0,14.0,11.0,19.0,5.0,198
1,139.0,118.0,142.0,101.0,22.0,40.0,75.0,104.0,41.0,0.0,199
0,25.0,54.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200
1,13.0,251.0,253.0,122.0,79.0,221.0,227.0,65.0,24.0,0.0,201
1,0.0,4.0,7.0,0.0,2.0,23.0,37.0,33.0,0.0,0.0,202
0,15.0,74.0,44.0,14.0,35.0,31.0,86.0,5.0,0.0,0.0,203
1,7.0,28.0,0.0,13.0,0.0,0.0,46.0,13.0,0.0,0.0,204
0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205
1,88.0,198.0,71.0,106.0,17.0,40.0,46.0,162.0,99.0,0.0,206
1,56.0,110.0,102.0,104.0,197.0,141.0,4.0,121.0,251.0,1.0,207
1,116.0,137.0,97.0,71.0,78.0,17.0,81.0,72.0,103.0,4.0,208
1,17.0,48.0,215.0,69.0,125.0,371.0,158.0,403.0,150.0,0.0,209
0,0.0,21.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,210
1,0.0,76.0,69.0,31.0,51.0,24.0,21.0,32.0,19.0,43.0,211
1,0.0,42.0,29.0,0.0,25.0,5.0,46.0,18.0,0.0,0.0,212
0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213
1,0.0,125.0,59.0,74.0,10.0,25.0,37.0,44.0,27.0,0.0,214
1,0.0,114.0,92.0,83.0,61.0,70.0,59.0,54.0,7.0,1.0,215
0,48.0,44.0,28.0,13.0,69.0,0.0,0.0,0.0,0.0,0.0,216
1,33.0,1049.0,2573.0,69.0,54.0,813.0,1466.0,1443.0,1308.0,0.0,217
0,0.0,117.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218
1,2.0,15.0,78.0,4.0,48.0,37.0,71.0,86.0,31.0,10.0,219
1,0.0,91.0,127.0,75.0,96.0,128.0,85.0,101.0,53.0,1.0,220
1,28.0,96.0,262.0,138.0,199.0,310.0,131.0,189.0,267.0,0.0,221
1,0.0,483.0,337.0,534.0,509.0,286.0,259.0,504.0,393.0,0.0,222
1,105.0,155.0,126.0,74.0,38.0,17.0,29.0,61.0,56.0,0.0,223
1,3.0,108.0,59.0,57.0,70.0,58.0,46.0,6.0,23.0,2.0,224
0,0.0,117.0,110.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,225
0,134.0,150.0,43.0,44.0,38.0,25.0,38.0,23.0,55.0,0.0,226
1,27.0,78.0,108.0,23.0,102.0,78.0,82.0,50.0,49.0,0.0,227
1,5.0,189.0,94.0,113.0,39.0,71.0,32.0,3.0,23.0,0.0,228
1,39.0,146.0,102.0,51.0,75.0,45.0,45.0,36.0,47.0,0.0,229
1,90.0,105.0,182.0,90.0,79.0,62.0,44.0,121.0,24.0,0.0,230
1,148.0,119.0,7.0,7.0,64.0,6.0,0.0,10.0,112.0,0.0,231
0,19.0,15.0,25.0,0.0,24.0,5.0,3.0,3.0,3.0,8.0,232
1,8.0,24.0,89.0,2.0,36.0,25.0,54.0,35.0,21.0,163.0,233
0,273.0,977.0,528.0,262.0,378.0,21.0,256.0,17.0,0.0,0.0,234
1,28.0,65.0,29.0,0.0,38.0,3.0,63.0,58.0,37.0,0.0,235
1,38.0,288.0,106.0,28.0,19.0,44.0,27.0,56.0,1.0,0.0,236
1,20.0,135.0,169.0,70.0,263.0,146.0,33.0,45.0,58.0,0.0,237
1,34.0,168.0,135.0,79.0,54.0,51.0,21.0,49.0,49.0,0.0,238
1,39.0,120.0,80.0,47.0,13.0,30.0,98.0,15.0,0.0,0.0,239
0,0.0,92.0,98.0,56.0,31.0,0.0,0.0,0.0,0.0,0.0,240
1,93.0,364.0,177.0,30.0,231.0,218.0,197.0,121.0,129.0,47.0,241
1,0.0,123.0,102.0,100.0,189.0,163.0,50.0,43.0,13.0,0.0,242
0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243
0,47.0,111.0,94.0,3.0,46.0,28.0,4.0,97.0,7.0,4.0,244
1,82.0,300.0,59.0,129.0,120.0,170.0,134.0,199.0,99.0,0.0,245
1,93.0,147.0,77.0,36.0,252.0,219.0,167.0,106.0,82.0,7.0,246
1,10.0,138.0,186.0,75.0,42.0,55.0,56.0,62.0,20.0,7.0,247
1,33.0,219.0,164.0,56.0,255.0,663.0,68.0,237.0,51.0,5.0,248
0,193.0,492.0,247.0,147.0,88.0,62.0,92.0,60.0,25.0,0.0,249
1,54.0,41.0,103.0,47.0,8.0,18.0,49.0,25.0,23.0,3.0,250
0,118.0,78.0,19.0,19.0,27.0,40.0,0.0,3.0,0.0,0.0,251
0,55.0,873.0,762.0,181.0,300.0,0.0,0.0,0.0,0.0,0.0,252
0,49.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253
1,70.0,28.0,165.0,38.0,97.0,145.0,52.0,102.0,48.0,0.0,254
1,31.0,87.0,77.0,0.0,41.0,13.0,24.0,28.0,5.0,8.0,255
0,35.0,302.0,59.0,0.0,210.0,2.0,80.0,38.0,2.0,0.0,256
1,0.0,3.0,19.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,257
1,36.0,544.0,207.0,199.0,120.0,92.0,120.0,42.0,91.0,0.0,258
1,51.0,43.0,44.0,42.0,44.0,56.0,14.0,36.0,15.0,0.0,259
1,199.0,62.0,130.0,37.0,419.0,203.0,50.0,120.0,6.0,0.0,260
1,32.0,172.0,220.0,1.0,228.0,121.0,75.0,164.0,366.0,7.0,261
1,0.0,12.0,32.0,1.0,1.0,6.0,0.0,0.0,12.0,0.0,262
1,76.0,136.0,78.0,63.0,82.0,68.0,38.0,90.0,40.0,0.0,263
1,48.0,207.0,97.0,118.0,84.0,26.0,34.0,135.0,50.0,0.0,264
0,0.0,64.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,265
0,3.0,95.0,59.0,26.0,19.0,59.0,1.0,17.0,7.0,0.0,266
0,3.0,1.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,267
1,12.0,176.0,173.0,95.0,200.0,283.0,191.0,27.0,47.0,3.0,268
1,21.0,178.0,83.0,48.0,21.0,52.0,110.0,49.0,47.0,9.0,269
0,0.0,36.0,16.0,0.0,72.0,44.0,1.0,29.0,17.0,0.0,270
1,10.0,155.0,82.0,95.0,86.0,172.0,69.0,87.0,362.0,11.0,271
1,71.0,89.0,104.0,6.0,131.0,37.0,65.0,144.0,34.0,39.0,272
1,5.0,166.0,322.0,371.0,80.0,197.0,58.0,240.0,282.0,0.0,273
1,26.0,71.0,101.0,2.0,59.0,24.0,21.0,12.0,73.0,9.0,274
1,84.0,253.0,270.0,152.0,588.0,36.0,169.0,132.0,182.0,344.0,275
1,64.0,256.0,240.0,123.0,44.0,51.0,115.0,114.0,2.0,0.0,276
1,89.0,138.0,474.0,208.0,267.0,373.0,58.0,383.0,65.0,22.0,277
0,44.0,76.0,2.0,78.0,3.0,20.0,11.0,12.0,5.0,0.0,278
1,122.0,244.0,372.0,76.0,151.0,278.0,46.0,75.0,99.0,6.0,279
1,24.0,221.0,141.0,164.0,220.0,254.0,263.0,149.0,154.0,18.0,280
0,49.0,113.0,100.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,281
1,74.0,122.0,14.0,6.0,16.0,8.0,137.0,2.0,28.0,0.0,282
1,747.0,831.0,401.0,387.0,616.0,543.0,565.0,685.0,513.0,23.0,283
1,0.0,232.0,144.0,98.0,131.0,225.0,203.0,52.0,3.0,0.0,284
1,198.0,1789.0,2700.0,1564.0,1899.0,2075.0,2575.0,1471.0,1793.0,376.0,285
0,0.0,31.0,13.0,9.0,6.0,26.0,0.0,0.0,0.0,0.0,286
0,6.0,95.0,79.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,287
1,225.0,792.0,678.0,432.0,314.0,563.0,602.0,576.0,763.0,0.0,288
0,35.0,272.0,311.0,105.0,109.0,79.0,145.0,331.0,19.0,0.0,289
1,39.0,395.0,67.0,6.0,56.0,38.0,65.0,91.0,9.0,10.0,290
0,100.0,210.0,39.0,0.0,196.0,77.0,0.0,0.0,0.0,0.0,291
1,6.0,129.0,69.0,17.0,61.0,40.0,58.0,39.0,20.0,0.0,292
1,81.0,242.0,246.0,62.0,1302.0,177.0,612.0,418.0,238.0,0.0,293
1,0.0,5.0,1.0,3.0,4.0,47.0,1.0,35.0,524.0,0.0,294
1,132.0,219.0,120.0,35.0,3.0,89.0,64.0,72.0,32.0,27.0,295
0,43.0,185.0,62.0,44.0,50.0,75.0,8.0,51.0,41.0,0.0,296
1,0.0,144.0,0.0,0.0,0.0,78.0,1.0,0.0,42.0,0.0,297
0,4.0,15.0,21.0,0.0,20.0,6.0,1.0,0.0,0.0,0.0,298
1,43.0,213.0,179.0,102.0,488.0,311.0,369.0,208.0,283.0,6.0,299
1,136.0,427.0,143.0,72.0,588.0,275.0,201.0,314.0,179.0,2.0,300
1,1.0,57.0,10.0,0.0,10.0,0.0,24.0,0.0,0.0,0.0,301
1,152.0,55.0,148.0,13.0,223.0,178.0,85.0,172.0,105.0,0.0,302
1,0.0,5.0,31.0,0.0,25.0,21.0,30.0,29.0,2.0,0.0,303
1,80.0,449.0,1158.0,686.0,853.0,497.0,464.0,537.0,221.0,0.0,304
1,0.0,561.0,732.0,459.0,68.0,247.0,611.0,390.0,167.0,0.0,305
0,124.0,48.0,44.0,52.0,15.0,22.0,0.0,0.0,0.0,0.0,306
0,20.0,99.0,45.0,129.0,77.0,14.0,58.0,2.0,33.0,0.0,307
0,0.0,26.0,142.0,242.0,32.0,0.0,0.0,0.0,0.0,0.0,308
1,39.0,149.0,56.0,44.0,72.0,5.0,40.0,61.0,24.0,10.0,309
1,49.0,141.0,107.0,66.0,159.0,111.0,32.0,25.0,54.0,3.0,310
1,18.0,264.0,129.0,59.0,36.0,134.0,94.0,132.0,28.0,61.0,311
1,11.0,27.0,84.0,4.0,73.0,127.0,120.0,13.0,1.0,15.0,312
1,3.0,117.0,128.0,27.0,94.0,237.0,88.0,110.0,24.0,0.0,313
1,38.0,160.0,153.0,143.0,124.0,312.0,180.0,29.0,177.0,0.0,314
