"final_result","T0","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T39","id1"
0,33.0,114.0,17.0,9.0,0.0,0.0,71.0,0.0,0.0,0.0,4.0,24.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
1,49.0,148.0,101.0,82.0,67.0,36.0,139.0,34.0,41.0,19.0,99.0,52.0,108.0,26.0,36.0,87.0,53.0,123.0,14.0,22.0,19.0,60.0,70.0,9.0,3.0,24.0,15.0,0.0,63.0,60.0,59.0,71.0,120.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,33
1,37.0,11.0,31.0,16.0,16.0,30.0,16.0,130.0,18.0,33.0,0.0,0.0,0.0,0.0,1.0,14.0,80.0,0.0,0.0,0.0,38.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,46.0,222.0,0.0,0.0,0.0,0.0,0.0,34
1,17.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,67.0,16.0,0.0,0.0,0.0,0.0,11.0,33.0,0.0,0.0,14.0,27.0,19.0,8.0,0.0,9.0,0.0,0.0,0.0,35
1,145.0,231.0,384.0,43.0,80.0,87.0,137.0,56.0,32.0,46.0,33.0,25.0,42.0,39.0,25.0,26.0,38.0,108.0,48.0,24.0,12.0,9.0,75.0,67.0,25.0,9.0,39.0,58.0,25.0,7.0,0.0,26.0,249.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,36
1,12.0,63.0,54.0,43.0,36.0,40.0,106.0,90.0,57.0,55.0,142.0,169.0,89.0,90.0,33.0,28.0,44.0,74.0,59.0,57.0,186.0,121.0,267.0,132.0,85.0,160.0,319.0,208.0,371.0,227.0,454.0,393.0,300.0,424.0,216.0,11.0,0.0,0.0,0.0,0.0,37
1,50.0,84.0,8.0,33.0,98.0,9.0,53.0,62.0,19.0,28.0,96.0,23.0,99.0,36.0,25.0,16.0,36.0,46.0,77.0,13.0,53.0,54.0,21.0,57.0,6.0,13.0,3.0,42.0,4.0,51.0,65.0,59.0,16.0,45.0,22.0,2.0,0.0,0.0,0.0,0.0,38
1,27.0,2.0,0.0,4.0,6.0,17.0,0.0,48.0,23.0,6.0,0.0,4.0,0.0,0.0,29.0,0.0,20.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,21.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,0.0,39
0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
1,0.0,0.0,3.0,0.0,23.0,0.0,5.0,0.0,18.0,0.0,4.0,35.0,11.0,0.0,27.0,14.0,5.0,24.0,9.0,0.0,5.0,22.0,31.0,10.0,13.0,7.0,3.0,47.0,35.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
1,4.0,1.0,22.0,23.0,135.0,33.0,24.0,0.0,40.0,103.0,9.0,10.0,27.0,0.0,25.0,39.0,62.0,59.0,9.0,50.0,18.0,0.0,45.0,39.0,30.0,0.0,0.0,0.0,15.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42
1,5.0,139.0,293.0,18.0,54.0,50.0,42.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,61.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,90.0,0.0,0.0,1.0,32.0,103.0,6.0,1.0,1.0,33.0,77.0,3.0,0.0,3.0,0.0,0.0,43
1,31.0,27.0,52.0,5.0,12.0,63.0,44.0,51.0,22.0,30.0,0.0,50.0,6.0,77.0,13.0,71.0,57.0,11.0,91.0,76.0,111.0,31.0,85.0,202.0,152.0,131.0,96.0,61.0,77.0,91.0,58.0,142.0,149.0,146.0,83.0,43.0,35.0,12.0,66.0,16.0,44
0,80.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
1,0.0,9.0,0.0,8.0,4.0,49.0,0.0,1.0,21.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,24.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46
0,114.0,7.0,5.0,0.0,1.0,41.0,40.0,16.0,50.0,2.0,0.0,0.0,1.0,50.0,0.0,9.0,4.0,102.0,1.0,10.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,6.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,47
1,47.0,28.0,9.0,133.0,18.0,161.0,140.0,8.0,72.0,77.0,40.0,7.0,14.0,15.0,92.0,41.0,25.0,107.0,17.0,6.0,1.0,161.0,75.0,13.0,7.0,3.0,0.0,0.0,8.0,56.0,0.0,15.0,0.0,0.0,98.0,14.0,0.0,0.0,0.0,0.0,48
0,98.0,18.0,2.0,83.0,72.0,9.0,30.0,171.0,19.0,29.0,0.0,10.0,7.0,21.0,56.0,153.0,15.0,0.0,0.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0,9.0,33.0,2.0,35.0,0.0,0.0,4.0,86.0,32.0,7.0,0.0,0.0,0.0,0.0,49
1,17.0,10.0,25.0,5.0,0.0,3.0,91.0,1.0,0.0,0.0,0.0,22.0,44.0,4.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,3.0,19.0,36.0,10.0,9.0,0.0,0.0,39.0,21.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50
1,115.0,36.0,120.0,52.0,83.0,128.0,54.0,47.0,25.0,0.0,0.0,30.0,56.0,11.0,0.0,1.0,14.0,30.0,14.0,0.0,0.0,0.0,45.0,0.0,2.0,0.0,0.0,14.0,9.0,1.0,0.0,0.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,51
1,0.0,18.0,17.0,25.0,8.0,0.0,16.0,17.0,50.0,5.0,0.0,29.0,0.0,11.0,18.0,0.0,33.0,42.0,20.0,1.0,3.0,4.0,0.0,3.0,15.0,42.0,5.0,26.0,0.0,0.0,12.0,8.0,21.0,0.0,37.0,40.0,10.0,4.0,7.0,0.0,52
1,0.0,2.0,0.0,0.0,0.0,0.0,4.0,22.0,38.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,6.0,85.0,10.0,18.0,0.0,7.0,0.0,86.0,9.0,20.0,19.0,0.0,62.0,0.0,0.0,7.0,0.0,53
1,65.0,31.0,31.0,49.0,58.0,34.0,18.0,61.0,73.0,35.0,26.0,23.0,33.0,10.0,56.0,55.0,46.0,8.0,28.0,52.0,23.0,46.0,51.0,13.0,184.0,67.0,67.0,26.0,14.0,25.0,44.0,165.0,66.0,16.0,33.0,98.0,15.0,19.0,13.0,13.0,54
1,74.0,41.0,0.0,161.0,27.0,26.0,29.0,179.0,59.0,1.0,10.0,25.0,0.0,1.0,369.0,104.0,33.0,41.0,82.0,97.0,45.0,75.0,85.0,22.0,149.0,12.0,114.0,280.0,83.0,233.0,0.0,0.0,0.0,186.0,47.0,0.0,0.0,0.0,0.0,0.0,55
1,10.0,70.0,13.0,156.0,6.0,50.0,2.0,20.0,3.0,0.0,17.0,5.0,0.0,23.0,16.0,15.0,5.0,15.0,23.0,4.0,3.0,7.0,0.0,28.0,8.0,6.0,6.0,49.0,5.0,4.0,0.0,0.0,14.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,56
1,0.0,16.0,4.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57
1,82.0,224.0,126.0,7.0,41.0,80.0,52.0,87.0,5.0,125.0,65.0,28.0,43.0,9.0,7.0,56.0,33.0,11.0,42.0,0.0,24.0,64.0,103.0,26.0,1.0,50.0,68.0,69.0,88.0,13.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58
1,88.0,28.0,32.0,18.0,71.0,27.0,5.0,92.0,9.0,33.0,2.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,5.0,31.0,12.0,0.0,76.0,106.0,34.0,72.0,65.0,13.0,0.0,9.0,13.0,40.0,26.0,38.0,25.0,0.0,0.0,6.0,0.0,0.0,59
1,7.0,0.0,0.0,6.0,1.0,13.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
1,150.0,69.0,64.0,27.0,16.0,27.0,82.0,16.0,51.0,38.0,21.0,33.0,20.0,1.0,33.0,21.0,15.0,5.0,43.0,3.0,30.0,5.0,40.0,16.0,46.0,3.0,14.0,60.0,2.0,29.0,61.0,121.0,19.0,24.0,5.0,10.0,12.0,40.0,11.0,9.0,61
1,11.0,39.0,25.0,18.0,12.0,45.0,54.0,2.0,4.0,0.0,12.0,29.0,69.0,2.0,0.0,0.0,7.0,36.0,3.0,0.0,0.0,0.0,73.0,1.0,29.0,0.0,0.0,10.0,28.0,3.0,3.0,16.0,24.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,62
0,19.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63
1,11.0,24.0,25.0,18.0,0.0,49.0,114.0,7.0,65.0,1.0,0.0,0.0,1.0,0.0,0.0,72.0,111.0,29.0,30.0,1.0,104.0,3.0,115.0,0.0,4.0,83.0,121.0,7.0,37.0,78.0,0.0,2.0,0.0,7.0,43.0,5.0,5.0,2.0,0.0,0.0,64
1,30.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,51.0,156.0,168.0,160.0,0.0,24.0,0.0,2.0,0.0,0.0,0.0,65
1,9.0,80.0,0.0,1.0,14.0,19.0,11.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,18.0,0.0,33.0,0.0,0.0,0.0,0.0,32.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
0,178.0,81.0,92.0,35.0,41.0,134.0,62.0,66.0,86.0,81.0,57.0,23.0,17.0,46.0,116.0,56.0,28.0,50.0,106.0,69.0,43.0,40.0,164.0,71.0,78.0,36.0,21.0,69.0,45.0,10.0,45.0,32.0,25.0,52.0,17.0,24.0,0.0,2.0,0.0,10.0,67
1,36.0,64.0,243.0,147.0,230.0,262.0,304.0,217.0,238.0,377.0,214.0,160.0,154.0,68.0,50.0,144.0,2.0,9.0,36.0,7.0,27.0,18.0,16.0,37.0,92.0,74.0,0.0,4.0,0.0,3.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68
1,59.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,3.0,0.0,0.0,26.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,69
1,172.0,236.0,27.0,28.0,119.0,75.0,55.0,79.0,8.0,49.0,1.0,36.0,0.0,44.0,51.0,14.0,269.0,101.0,20.0,106.0,59.0,16.0,42.0,91.0,10.0,40.0,26.0,49.0,35.0,37.0,47.0,108.0,40.0,26.0,158.0,0.0,0.0,0.0,0.0,0.0,70
1,92.0,28.0,50.0,73.0,15.0,11.0,32.0,37.0,36.0,34.0,15.0,11.0,4.0,5.0,21.0,40.0,4.0,4.0,6.0,44.0,15.0,0.0,6.0,0.0,23.0,26.0,0.0,8.0,0.0,1.0,5.0,6.0,0.0,5.0,7.0,10.0,5.0,0.0,2.0,0.0,71
1,83.0,85.0,49.0,159.0,126.0,40.0,91.0,55.0,2.0,13.0,12.0,0.0,55.0,77.0,189.0,14.0,68.0,109.0,58.0,119.0,96.0,85.0,5.0,0.0,129.0,9.0,122.0,61.0,30.0,37.0,0.0,26.0,26.0,175.0,70.0,0.0,0.0,0.0,0.0,0.0,72
1,22.0,0.0,56.0,21.0,27.0,1.0,0.0,80.0,73.0,14.0,2.0,0.0,11.0,66.0,1.0,0.0,48.0,0.0,28.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,35.0,2.0,7.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,73
1,11.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
0,1.0,14.0,2.0,11.0,10.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
1,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,65.0,45.0,70.0,25.0,31.0,4.0,0.0,23.0,73.0,39.0,2.0,1.0,0.0,0.0,0.0,35.0,68.0,0.0,76.0,0.0,156.0,258.0,0.0,0.0,0.0,0.0,0.0,76
1,0.0,0.0,21.0,3.0,0.0,8.0,0.0,3.0,42.0,1.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,1.0,14.0,24.0,2.0,33.0,0.0,3.0,53.0,2.0,0.0,1.0,0.0,23.0,68.0,0.0,3.0,0.0,54.0,32.0,0.0,0.0,0.0,0.0,77
1,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,23.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78
0,11.0,84.0,34.0,3.0,1.0,23.0,16.0,15.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79
0,13.0,37.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80
1,16.0,2.0,23.0,41.0,0.0,84.0,0.0,11.0,4.0,3.0,0.0,0.0,0.0,88.0,71.0,11.0,9.0,0.0,1.0,0.0,65.0,43.0,75.0,22.0,0.0,0.0,78.0,193.0,3.0,21.0,65.0,23.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,81
0,3.0,0.0,0.0,4.0,0.0,50.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82
