gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,unique_id
M,Wales,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,BBB_2013B_192424
F,Wales,Lower Than A Level,10-20,35-55,0,60,Y,Pass,BBB_2013B_193822
F,London Region,HE Qualification,30-40%,35-55,0,60,N,Pass,BBB_2013B_197595
M,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013B_198956
F,Scotland,HE Qualification,40-50%,0-35,0,60,N,Pass,BBB_2013B_199520
F,London Region,HE Qualification,0-10%,0-35,1,60,N,Fail,BBB_2013B_200905
F,South West Region,A Level or Equivalent,60-70%,0-35,1,120,N,Fail,BBB_2013B_203108
F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,BBB_2013B_203481
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,180,Y,Fail,BBB_2013B_203652
F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013B_204746
F,Scotland,Lower Than A Level,10-20,35-55,1,60,N,Fail,BBB_2013B_205231
M,Wales,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,BBB_2013B_226374
F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_226827
F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013B_229240
F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013B_229426
F,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Pass,BBB_2013B_232695
F,North Western Region,Lower Than A Level,40-50%,0-35,1,60,Y,Fail,BBB_2013B_235097
M,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013B_237304
F,North Western Region,A Level or Equivalent,20-30%,0-35,1,60,N,Fail,BBB_2013B_237913
F,North Western Region,Lower Than A Level,10-20,35-55,1,60,N,Fail,BBB_2013B_245404
M,South East Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,BBB_2013B_247267
F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013B_248103
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,BBB_2013B_249534
F,Scotland,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_251351
F,Scotland,A Level or Equivalent,80-90%,0-35,2,120,Y,Fail,BBB_2013B_252340
F,West Midlands Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,BBB_2013B_255347
F,London Region,Lower Than A Level,50-60%,35-55,2,60,N,Pass,BBB_2013B_255998
F,South Region,A Level or Equivalent,40-50%,0-35,1,120,Y,Fail,BBB_2013B_262454
F,North Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_262741
F,Ireland,Lower Than A Level,40-50%,35-55,0,325,N,Pass,BBB_2013B_263499
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,1,120,N,Pass,BBB_2013B_267761
F,Ireland,Lower Than A Level,20-30%,35-55,0,120,N,Fail,BBB_2013B_267853
F,South West Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_270399
F,North Region,A Level or Equivalent,20-30%,0-35,1,60,N,Pass,BBB_2013B_270567
F,Ireland,Lower Than A Level,80-90%,35-55,3,60,N,Pass,BBB_2013B_271036
F,South West Region,Lower Than A Level,30-40%,35-55,0,120,N,Pass,BBB_2013B_272580
F,South East Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_273731
M,London Region,Lower Than A Level,0-10%,35-55,0,60,N,Fail,BBB_2013B_273877
F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,BBB_2013B_276717
F,Scotland,HE Qualification,30-40%,0-35,1,60,Y,Pass,BBB_2013B_277733
F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013B_278447
F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,180,N,Fail,BBB_2013B_280962
F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_281564
F,South Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013B_284076
F,West Midlands Region,HE Qualification,20-30%,0-35,1,120,Y,Fail,BBB_2013B_285633
F,Wales,HE Qualification,50-60%,35-55,0,90,N,Pass,BBB_2013B_285912
F,South West Region,Lower Than A Level,50-60%,0-35,3,120,Y,Fail,BBB_2013B_288380
F,Ireland,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,BBB_2013B_290550
F,West Midlands Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,BBB_2013B_291037
F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,90,N,Pass,BBB_2013B_291194
F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,BBB_2013B_294381
F,London Region,A Level or Equivalent,10-20,0-35,2,300,N,Pass,BBB_2013B_294961
F,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,BBB_2013B_295754
F,North Region,A Level or Equivalent,10-20,0-35,1,60,N,Pass,BBB_2013B_297484
F,East Anglian Region,HE Qualification,30-40%,35-55,1,120,N,Pass,BBB_2013B_298322
F,North Region,A Level or Equivalent,70-80%,0-35,2,130,N,Pass,BBB_2013B_298476
F,South Region,Lower Than A Level,90-100%,0-35,0,150,N,Pass,BBB_2013B_306886
F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass,BBB_2013B_309175
M,South East Region,Lower Than A Level,90-100%,35-55,3,195,N,Pass,BBB_2013B_309709
F,East Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Pass,BBB_2013B_309734
F,Yorkshire Region,Lower Than A Level,20-30%,35-55,1,60,N,Fail,BBB_2013B_312141
F,South Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_313810
F,South West Region,A Level or Equivalent,40-50%,35-55,1,60,N,Pass,BBB_2013B_315186
F,South East Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,BBB_2013B_316841
F,Wales,A Level or Equivalent,20-30%,0-35,0,150,N,Pass,BBB_2013B_318056
F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_318101
F,South Region,Post Graduate Qualification,90-100%,35-55,0,120,N,Pass,BBB_2013B_319209
F,Scotland,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,BBB_2013B_322745
F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2013B_323914
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,Pass,BBB_2013B_325511
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,BBB_2013B_325879
F,London Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail,BBB_2013B_326012
M,Scotland,HE Qualification,20-30%,0-35,0,120,N,Pass,BBB_2013B_329226
F,West Midlands Region,Lower Than A Level,80-90%,0-35,2,60,N,Fail,BBB_2013B_329321
M,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013B_329800
F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_331354
F,South West Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,BBB_2013B_331844
F,East Anglian Region,Lower Than A Level,10-20,0-35,2,240,N,Fail,BBB_2013B_333129
F,South West Region,Lower Than A Level,40-50%,0-35,1,90,N,Fail,BBB_2013B_334291
F,South West Region,A Level or Equivalent,40-50%,0-35,0,240,N,Fail,BBB_2013B_335421
F,Wales,Lower Than A Level,50-60%,0-35,3,150,N,Fail,BBB_2013B_335600
F,South East Region,A Level or Equivalent,30-40%,0-35,0,90,N,Fail,BBB_2013B_335910
F,East Midlands Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail,BBB_2013B_336165
F,Scotland,Lower Than A Level,40-50%,0-35,1,120,N,Pass,BBB_2013B_338056
F,South West Region,A Level or Equivalent,10-20,0-35,0,60,N,Fail,BBB_2013B_338861
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_339379
F,Wales,Lower Than A Level,40-50%,0-35,0,60,Y,Fail,BBB_2013B_341229
F,South Region,A Level or Equivalent,40-50%,0-35,0,180,Y,Pass,BBB_2013B_341509
F,London Region,A Level or Equivalent,70-80%,35-55,1,60,N,Fail,BBB_2013B_349424
F,London Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_350622
M,East Midlands Region,Lower Than A Level,40-50%,35-55,1,60,N,Fail,BBB_2013B_350795
F,Scotland,HE Qualification,10-20,0-35,0,120,N,Pass,BBB_2013B_351271
F,East Midlands Region,Lower Than A Level,40-50%,0-35,2,60,N,Pass,BBB_2013B_351290
F,Wales,Lower Than A Level,30-40%,0-35,1,120,N,Fail,BBB_2013B_351543
F,South Region,A Level or Equivalent,,35-55,0,60,N,Pass,BBB_2013B_352364
F,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013B_353093
F,Scotland,Lower Than A Level,0-10%,35-55,0,120,N,Fail,BBB_2013B_353352
F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_354058
F,Wales,A Level or Equivalent,40-50%,0-35,0,180,N,Fail,BBB_2013B_355998
F,South West Region,HE Qualification,10-20,0-35,2,180,N,Fail,BBB_2013B_357038
F,Wales,A Level or Equivalent,10-20,0-35,0,90,N,Fail,BBB_2013B_357928
F,South West Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass,BBB_2013B_360188
M,South Region,HE Qualification,50-60%,0-35,1,120,N,Pass,BBB_2013B_360877
M,North Western Region,A Level or Equivalent,50-60%,0-35,1,60,N,Pass,BBB_2013B_361603
F,Wales,A Level or Equivalent,10-20,0-35,0,180,N,Fail,BBB_2013B_362760
M,East Anglian Region,Lower Than A Level,40-50%,35-55,1,120,N,Fail,BBB_2013B_363401
F,London Region,Lower Than A Level,30-40%,0-35,0,240,N,Pass,BBB_2013B_363416
M,South East Region,A Level or Equivalent,70-80%,35-55,1,180,N,Pass,BBB_2013B_363660
F,South East Region,HE Qualification,60-70%,0-35,0,120,N,Fail,BBB_2013B_365439
F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,Y,Pass,BBB_2013B_365452
F,Wales,A Level or Equivalent,60-70%,0-35,1,60,N,Fail,BBB_2013B_365488
F,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013B_365707
F,West Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_366821
F,London Region,A Level or Equivalent,10-20,0-35,2,60,N,Fail,BBB_2013B_367304
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_367348
M,Wales,Lower Than A Level,0-10%,35-55,0,60,N,Pass,BBB_2013B_367609
F,London Region,Lower Than A Level,10-20,0-35,1,60,N,Fail,BBB_2013B_368439
M,North Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,BBB_2013B_370302
F,London Region,Lower Than A Level,0-10%,0-35,1,120,N,Fail,BBB_2013B_370720
F,South East Region,Lower Than A Level,70-80%,0-35,2,120,N,Pass,BBB_2013B_371679
F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,BBB_2013B_374102
F,South Region,HE Qualification,80-90%,35-55,1,120,N,Pass,BBB_2013B_374234
M,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013B_376617
F,London Region,A Level or Equivalent,20-30%,35-55,1,120,Y,Pass,BBB_2013B_377759
M,East Anglian Region,Lower Than A Level,0-10%,35-55,0,150,N,Pass,BBB_2013B_377846
F,East Midlands Region,Lower Than A Level,30-40%,0-35,2,150,N,Fail,BBB_2013B_377905
F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass,BBB_2013B_378462
M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass,BBB_2013B_378543
F,Ireland,A Level or Equivalent,80-90%,0-35,1,105,N,Fail,BBB_2013B_379402
F,South East Region,HE Qualification,60-70%,0-35,0,135,N,Fail,BBB_2013B_381640
M,London Region,HE Qualification,80-90%,0-35,0,60,N,Fail,BBB_2013B_384678
M,East Midlands Region,Lower Than A Level,20-30%,35-55,1,120,Y,Pass,BBB_2013B_386348
F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_386957
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013B_387702
F,London Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,BBB_2013B_388205
F,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,BBB_2013B_388360
F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Fail,BBB_2013B_388410
F,Scotland,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_388484
M,Wales,A Level or Equivalent,10-20,0-35,0,120,N,Pass,BBB_2013B_389369
F,South East Region,Lower Than A Level,60-70%,0-35,3,120,N,Pass,BBB_2013B_390220
F,South Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass,BBB_2013B_390442
F,East Anglian Region,HE Qualification,70-80%,35-55,0,90,N,Fail,BBB_2013B_390461
F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,120,N,Pass,BBB_2013B_392213
F,South West Region,HE Qualification,20-30%,35-55,1,120,N,Pass,BBB_2013B_392428
F,East Anglian Region,A Level or Equivalent,20-30%,0-35,2,120,N,Fail,BBB_2013B_392614
F,South Region,Lower Than A Level,40-50%,0-35,1,330,Y,Fail,BBB_2013B_395229
F,North Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,BBB_2013B_397118
F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_398084
M,Scotland,HE Qualification,30-40%,0-35,2,150,Y,Fail,BBB_2013B_399792
F,London Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,BBB_2013B_400049
F,Yorkshire Region,A Level or Equivalent,50-60%,0-35,1,60,N,Pass,BBB_2013B_400469
F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass,BBB_2013B_400474
F,Scotland,A Level or Equivalent,30-40%,0-35,1,120,N,Pass,BBB_2013B_400894
F,London Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,BBB_2013B_401339
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_401349
F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,Y,Pass,BBB_2013B_403093
F,South West Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013B_404022
F,South Region,Lower Than A Level,70-80%,0-35,1,60,N,Fail,BBB_2013B_404727
M,South East Region,Lower Than A Level,70-80%,0-35,1,120,N,Pass,BBB_2013B_405471
F,South East Region,A Level or Equivalent,30-40%,0-35,2,120,N,Pass,BBB_2013B_405995
M,Scotland,No Formal quals,30-40%,35-55,0,60,N,Fail,BBB_2013B_406311
F,East Midlands Region,Lower Than A Level,10-20,35-55,0,60,Y,Pass,BBB_2013B_408112
F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013B_409662
F,East Midlands Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,BBB_2013B_410739
F,Yorkshire Region,A Level or Equivalent,70-80%,35-55,2,60,N,Fail,BBB_2013B_411197
M,South East Region,A Level or Equivalent,30-40%,0-35,1,60,N,Pass,BBB_2013B_412407
M,Scotland,A Level or Equivalent,20-30%,0-35,1,60,N,Pass,BBB_2013B_412654
F,London Region,Lower Than A Level,30-40%,0-35,1,60,N,Pass,BBB_2013B_413984
F,South Region,A Level or Equivalent,80-90%,0-35,1,60,N,Pass,BBB_2013B_414958
F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013B_415716
F,West Midlands Region,Lower Than A Level,40-50%,0-35,1,180,N,Pass,BBB_2013B_415760
F,Scotland,A Level or Equivalent,70-80%,0-35,2,120,N,Pass,BBB_2013B_416007
M,North Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_416314
F,Scotland,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013B_416654
F,West Midlands Region,A Level or Equivalent,40-50%,0-35,1,60,N,Fail,BBB_2013B_417462
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass,BBB_2013B_418325
F,Scotland,A Level or Equivalent,60-70%,35-55,2,120,N,Fail,BBB_2013B_420604
F,Wales,Lower Than A Level,70-80%,0-35,0,180,N,Fail,BBB_2013B_421205
F,East Midlands Region,A Level or Equivalent,50-60%,0-35,1,90,N,Fail,BBB_2013B_422070
M,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,BBB_2013B_423314
F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,90,N,Pass,BBB_2013B_423871
F,London Region,A Level or Equivalent,30-40%,0-35,1,120,N,Fail,BBB_2013B_425747
F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013B_425808
F,Scotland,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013B_425820
F,North Region,A Level or Equivalent,80-90%,0-35,1,60,N,Pass,BBB_2013B_426650
F,East Anglian Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_426838
F,London Region,HE Qualification,20-30%,35-55,0,120,N,Pass,BBB_2013B_427536
M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,120,Y,Pass,BBB_2013B_427704
F,London Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,BBB_2013B_427773
F,North Western Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013B_429038
F,East Midlands Region,Lower Than A Level,20-30%,0-35,2,240,N,Fail,BBB_2013B_429494
F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,2,120,N,Fail,BBB_2013B_430357
F,London Region,HE Qualification,40-50%,0-35,0,120,N,Fail,BBB_2013B_432004
F,South Region,HE Qualification,80-90%,0-35,0,60,N,Pass,BBB_2013B_432232
M,North Western Region,A Level or Equivalent,0-10%,0-35,1,240,N,Pass,BBB_2013B_432870
F,South Region,A Level or Equivalent,90-100%,0-35,0,180,N,Pass,BBB_2013B_433531
M,South West Region,A Level or Equivalent,50-60%,0-35,1,180,N,Pass,BBB_2013B_433755
F,Yorkshire Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail,BBB_2013B_433939
F,Wales,A Level or Equivalent,0-10%,0-35,1,60,N,Fail,BBB_2013B_434094
F,Wales,A Level or Equivalent,50-60%,0-35,2,120,N,Pass,BBB_2013B_434192
F,South East Region,HE Qualification,90-100%,35-55,1,60,N,Pass,BBB_2013B_434353
F,London Region,HE Qualification,20-30%,0-35,1,270,N,Pass,BBB_2013B_434646
F,Yorkshire Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,BBB_2013B_435245
F,Wales,Lower Than A Level,0-10%,0-35,1,120,N,Fail,BBB_2013B_435803
F,West Midlands Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013B_437562
F,Yorkshire Region,Lower Than A Level,10-20,0-35,1,60,N,Pass,BBB_2013B_437967
F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_438703
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013B_439857
F,Wales,Lower Than A Level,10-20,0-35,2,120,N,Pass,BBB_2013B_440057
F,Wales,HE Qualification,30-40%,0-35,0,120,N,Pass,BBB_2013B_440509
F,Wales,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_441000
F,East Anglian Region,HE Qualification,20-30%,0-35,0,120,N,Pass,BBB_2013B_441181
F,South West Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_441255
F,South West Region,Lower Than A Level,40-50%,35-55,1,60,N,Pass,BBB_2013B_442012
F,Yorkshire Region,A Level or Equivalent,10-20,0-35,1,120,N,Pass,BBB_2013B_442183
M,London Region,HE Qualification,20-30%,35-55,1,60,N,Fail,BBB_2013B_442456
F,South East Region,A Level or Equivalent,20-30%,0-35,2,240,Y,Pass,BBB_2013B_442466
F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,BBB_2013B_443288
M,South East Region,Lower Than A Level,0-10%,35-55,1,180,N,Fail,BBB_2013B_443452
F,North Western Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,BBB_2013B_444117
F,East Anglian Region,No Formal quals,20-30%,0-35,1,60,Y,Fail,BBB_2013B_444408
F,Wales,A Level or Equivalent,30-40%,0-35,0,120,N,Fail,BBB_2013B_444784
F,East Midlands Region,Lower Than A Level,20-30%,0-35,1,180,Y,Pass,BBB_2013B_444926
F,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013B_445065
F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Fail,BBB_2013B_445125
