,TimePeriod,Act1,Act2,Act3,Act4,Act5,Act6,Act7,Act8,Act9,Act10,Act11,Act12,id1,final_result
75,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
76,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
77,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
78,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
79,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[7.0],[0.0]
80,T0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
81,T1,44.0,1.0,14.0,30.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
82,T2,16.0,0.0,3.0,13.0,15.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
83,T3,29.0,0.0,3.0,31.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
84,T4,14.0,0.0,0.0,25.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
85,T5,22.0,0.0,4.0,16.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
86,T6,16.0,0.0,2.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
87,T7,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
88,T8,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
89,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[8.0],[1.0]
90,T0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
91,T1,24.0,0.0,1.0,9.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
92,T2,18.0,0.0,4.0,14.0,20.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
93,T3,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
94,T4,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
95,T5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
96,T6,0.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
97,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
98,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
99,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[9.0],[0.0]
100,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
101,T1,43.0,0.0,9.0,14.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
102,T2,0.0,0.0,3.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
103,T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
104,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
105,T5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
106,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
107,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
108,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
109,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[10.0],[0.0]
110,T0,16.0,1.0,9.0,7.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
111,T1,149.0,0.0,4.0,44.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
112,T2,132.0,0.0,0.0,29.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
113,T3,11.0,0.0,1.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
114,T4,23.0,0.0,0.0,15.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
115,T5,0.0,0.0,3.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
116,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
117,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
118,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
119,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[11.0],[0.0]
120,T0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
121,T1,21.0,0.0,14.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
122,T2,0.0,0.0,3.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,[12.0],[1.0]
123,T3,2.0,0.0,9.0,13.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
124,T4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
125,T5,30.0,0.0,12.0,25.0,24.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
126,T6,0.0,0.0,2.0,7.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
127,T7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
128,T8,0.0,0.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
129,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[12.0],[1.0]
130,T0,7.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
131,T1,31.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
132,T2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
133,T3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
134,T4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
135,T5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
136,T6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
137,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
138,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
139,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[13.0],[0.0]
140,T0,30.0,4.0,14.0,60.0,2.0,18.0,7.0,0.0,0.0,1.0,0.0,0.0,[14.0],[1.0]
141,T1,615.0,0.0,66.0,138.0,1.0,29.0,6.0,0.0,0.0,0.0,1.0,0.0,[14.0],[1.0]
142,T2,601.0,0.0,56.0,111.0,18.0,15.0,13.0,0.0,0.0,0.0,1.0,0.0,[14.0],[1.0]
143,T3,218.0,0.0,16.0,51.0,14.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
144,T4,361.0,0.0,16.0,69.0,15.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
145,T5,123.0,0.0,19.0,58.0,17.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
146,T6,148.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
147,T7,252.0,0.0,17.0,51.0,13.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
148,T8,278.0,0.0,15.0,45.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
149,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[14.0],[1.0]
150,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
151,T1,41.0,1.0,9.0,17.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,0.0,[15.0],[1.0]
152,T2,0.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
153,T3,0.0,0.0,1.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
154,T4,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
155,T5,2.0,0.0,3.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
156,T6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
157,T7,0.0,0.0,1.0,5.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
158,T8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
159,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[15.0],[1.0]
160,T0,0.0,0.0,2.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,[16.0],[1.0]
161,T1,18.0,0.0,12.0,21.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,[16.0],[1.0]
162,T2,22.0,0.0,7.0,10.0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,[16.0],[1.0]
163,T3,25.0,0.0,3.0,12.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,[16.0],[1.0]
164,T4,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,[16.0],[1.0]
165,T5,0.0,0.0,6.0,27.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,[16.0],[1.0]
166,T6,6.0,0.0,14.0,46.0,23.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,[16.0],[1.0]
167,T7,24.0,0.0,10.0,48.0,23.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,[16.0],[1.0]
168,T8,0.0,0.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,[16.0],[1.0]
169,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[16.0],[1.0]
170,T0,0.0,1.0,6.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
171,T1,103.0,1.0,7.0,29.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
172,T2,145.0,0.0,2.0,34.0,20.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,[17.0],[0.0]
173,T3,23.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
174,T4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
175,T5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
176,T6,4.0,0.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
177,T7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
178,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
179,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[17.0],[0.0]
180,T0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
181,T1,32.0,0.0,15.0,35.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
182,T2,16.0,0.0,8.0,18.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
183,T3,10.0,0.0,3.0,18.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
184,T4,19.0,0.0,0.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
185,T5,1.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
186,T6,0.0,0.0,19.0,11.0,13.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
187,T7,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
188,T8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
189,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[18.0],[1.0]
190,T0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
191,T1,67.0,1.0,24.0,41.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
192,T2,71.0,0.0,15.0,36.0,20.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
193,T3,92.0,0.0,22.0,59.0,13.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
194,T4,22.0,0.0,3.0,10.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
195,T5,6.0,0.0,23.0,26.0,12.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
196,T6,38.0,0.0,29.0,26.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
197,T7,20.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
198,T8,18.0,0.0,13.0,14.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
199,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[19.0],[1.0]
200,T0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
201,T1,42.0,0.0,14.0,33.0,0.0,9.0,9.0,0.0,0.0,1.0,1.0,0.0,[20.0],[1.0]
202,T2,8.0,0.0,19.0,31.0,29.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
203,T3,31.0,0.0,42.0,35.0,15.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
204,T4,9.0,0.0,38.0,19.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
205,T5,37.0,0.0,24.0,25.0,17.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
206,T6,24.0,0.0,22.0,22.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
207,T7,5.0,0.0,59.0,12.0,14.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
208,T8,100.0,0.0,27.0,25.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,[20.0],[1.0]
209,T9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[20.0],[1.0]
210,T0,5.0,0.0,9.0,41.0,1.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,[21.0],[1.0]
211,T1,59.0,0.0,59.0,87.0,14.0,28.0,5.0,0.0,0.0,2.0,0.0,0.0,[21.0],[1.0]
212,T2,4.0,0.0,13.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,[21.0],[1.0]
213,T3,0.0,0.0,16.0,18.0,14.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,[21.0],[1.0]
214,T4,0.0,0.0,15.0,21.0,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,[21.0],[1.0]
215,T5,0.0,0.0,46.0,30.0,15.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,[21.0],[1.0]
